ID,Destination,Notes,Country Code,Country No,Type of data (a),1990,Male_1990,Female_1990,1995,Male_1995,Female_1995,2000,Male_2000,Female_2000,2005,Male_2005,Female_2005,2010,Male_2010,Female_2010,2015,Male_2015,Female_2015
221,Chile,,CHL,152,B,107501,54547,52954,142417,69632,72785,177332,84717,92615,273384,129398,143986,369436,174079,195357,469436,221200,248236
222,Colombia,,COL,170,B,104277,53109,51168,106943,54666,52277,109609,56223,53386,107612,55706,51906,124271,65622,58649,133134,70912,62222
223,Ecuador,,ECU,218,B R,78663,38531,40132,115093,57879,57214,151523,77227,74296,187404,96188,91216,325366,167773,157593,387513,200352,187161
224,Falkland Islands (Malvinas),,FLK,238,B,855,488,367,868,510,358,1067,636,431,1166,675,491,1436,807,629,1571,873,698
225,French Guiana,,GUF,254,B,63612,34843,28769,70131,36869,33262,76649,38895,37754,86468,42729,43739,96288,46564,49724,106108,50399,55709
226,Guyana,,GUY,328,B,4095,2200,1895,6352,3405,2947,8610,4611,3999,10868,5817,5051,13126,7023,6103,15384,8229,7155
227,Paraguay,,PRY,600,B,195884,102816,93068,186570,97869,88701,176608,92052,84556,168243,87698,80545,160299,83394,76905,156462,81303,75159
228,Peru,,PER,604,B,65025,32538,32487,56732,28061,28671,66293,32955,33338,77541,38746,38795,84066,42204,41862,90881,45805,45076
229,Suriname,,SUR,740,C,18031,9731,8300,22270,12057,10213,27506,14892,12614,33664,18339,15325,39713,21659,18054,46836,25569,21267
230,Uruguay,,URY,858,B,98116,45830,52286,93428,43427,50001,88871,41093,47778,82318,37658,44660,76263,34507,41756,71799,32475,39324
231,Venezuela (Bolivarian Republic of),,VEN,862,B,1025009,517579,507430,1019996,513473,506523,1013663,508639,505024,1070562,535096,535466,1331488,667963,663525,1404448,703458,700990
233,Bermuda,,BMU,60,B,15683,7557,8126,16676,8044,8632,17668,8531,9137,18276,8866,9410,18884,9202,9682,19126,9336,9790
234,Canada,,CAN,124,B,4333318,2109652,2223666,4864778,2356105,2508673,5511914,2659135,2852779,6078985,2915838,3163147,7011226,3356211,3655015,7835502,3748267,4087235
235,Greenland,,GRL,304,B,9416,6565,2851,7320,5011,2309,6755,4723,2032,6686,4549,2137,6226,4210,2016,6009,3951,2058
236,Saint Pierre and Miquelon,,SPM,666,B,1099,560,539,1320,682,638,1458,756,702,1147,597,550,1017,531,486,986,516,470
237,United States of America,,USA,840,B,23251026,11372985,11878041,28451053,14032159,14418894,34814053,17310785,17503268,39258293,19614878,19643415,44183643,21694169,22489474,46627102,22824307,23802795
240,Australia,-22,AUS,36,B,3955213,2013196,1942017,4153330,2093280,2060050,4386250,2189900,2196350,4878030,2419190,2458840,5882980,2922030,2960950,6763663,3337580,3426083
241,New Zealand,,NZL,554,B,518047,258223,259824,588617,289230,299387,678813,329927,348886,839952,407690,432262,947443,459047,488396,1039736,502787,536949
243,Fiji,,FJI,242,B,13283,6847,6436,13001,6726,6275,12719,6601,6118,12435,6564,5871,13351,7137,6214,13751,7421,6330
244,New Caledonia,,NCL,540,B,37673,20885,16788,43662,23908,19754,49651,26932,22719,55405,29909,25496,61158,32886,28272,64290,34621,29669
245,Papua New Guinea,,PNG,598,C R,32720,18793,13927,33526,19832,13694,25101,15624,9477,29967,18942,11025,25424,16370,9054,25782,16738,9044
246,Solomon Islands,,SLB,90,B,4226,2349,1877,4178,2328,1850,3981,2224,1757,3271,1830,1441,2760,1546,1214,2585,1450,1135
247,Vanuatu,,VUT,548,B,2308,1269,1039,2461,1295,1166,2626,1320,1306,2800,1398,1402,2991,1487,1504,3187,1583,1604
249,Guam,,GUM,316,B,69755,39364,30391,71912,38822,33090,74070,38280,35790,74743,38602,36141,75416,38924,36492,76089,39246,36843
250,Kiribati,,KIR,296,B,2162,1107,1055,2223,1139,1084,2283,1188,1095,2487,1312,1175,2868,1512,1356,3153,1662,1491
251,Marshall Islands,,MHL,584,B,1158,721,437,1480,916,564,1891,1164,727,2417,1485,932,3089,1895,1194,3284,2011,1273
252,Micronesia (Federated States of),,FSM,583,B,3685,2099,1586,3342,2119,1223,3116,1721,1395,2905,1565,1340,2805,1502,1303,2756,1473,1283
253,Nauru,,NRU,520,C,2815,1506,1309,2605,1395,1210,2394,1283,1111,2253,1208,1045,2112,1133,979,3178,1907,1271
254,Northern Mariana Islands,,MNP,580,B,26593,14261,12332,32376,15847,16529,40122,17387,22735,37542,15977,21565,24168,10223,13945,21648,9100,12548
255,Palau,,PLW,585,B,2801,1800,1001,4749,2808,1941,6310,3905,2405,6043,3620,2423,5787,3346,2441,5664,3214,2450
257,American Samoa,,ASM,16,B,21283,11175,10108,23098,12037,11061,24912,12898,12014,24233,12498,11735,23555,12098,11457,23216,11898,11318
258,Cook Islands,,COK,184,B,2587,1443,1144,2686,1497,1189,2785,1552,1233,3277,1724,1553,3769,1895,1874,4152,2078,2074
259,French Polynesia,,PYF,258,B,25830,15444,10386,28360,16689,11671,30329,17604,12725,32286,18405,13881,31640,18037,13603,30058,17136,12922
260,Niue,,NIU,570,B,461,245,216,480,257,223,498,268,230,522,282,240,545,295,250,557,302,255
261,Samoa,,WSM,882,B,3357,1771,1586,4694,2451,2243,5998,3101,2897,5746,2940,2806,5122,2594,2528,4929,2469,2460
262,Tokelau,,TKL,772,B,270,150,120,266,147,119,262,144,118,258,133,125,429,206,223,487,233,254
263,Tonga,,TON,776,B,2911,1488,1423,3274,1718,1556,3684,1981,1703,4301,2328,1973,5022,2727,2295,5731,3127,2604
264,Tuvalu,,TUV,798,C,318,180,138,263,148,115,217,121,96,183,101,82,154,85,69,141,78,63
265,Wallis and Futuna Islands,,WLF,876,B,1402,726,676,1680,859,821,2015,1018,997,2365,1194,1171,2776,1401,1375,2849,1438,1411
,Total,,,,,152501552,77718505,74783047,160741233,81709009,79032224,172639008,87854605,84784403,191198159,97833063,93365096,221636662,114576732,107059930,243617929,126076097,117541832
