ID,Destination,Notes,Country Code,Country No,Type of data (a),1990,Male_1990,Female_1990,1995,Male_1995,Female_1995,2000,Male_2000,Female_2000,2005,Male_2005,Female_2005,2010,Male_2010,Female_2010,2015,Male_2015,Female_2015
56,Cabo Verde,,CPV,132,B,245729,113977,131752,283380,132778,150602,329768,156269,173499,373601,174788,198813,397712,181475,216237,435123,194600,240523
88,Cambodia,,KHM,116,B,926890,471457,455433,1076387,545722,530665,1209061,603312,605749,1841522,887027,954495,2654993,1271707,1383286,3368033,1643984,1724049
31,Cameroon,,CMR,120,B,276726,142017,134709,327650,168140,159510,388288,199510,188778,531629,260282,271347,700635,334305,366330,813518,390633,422885
234,Canada,,CAN,124,B,2236349,848944,1387405,2349631,900590,1449041,2547020,986882,1560138,2670967,1057159,1613808,2847566,1124338,1723228,2999745,1188095,1811650
189,Cayman Islands,,CYM,136,C,1017,529,488,2316,1051,1265,3688,1605,2083,3574,1616,1958,3762,1812,1950,4278,2029,2249
32,Central African Republic,,CAF,140,C,101469,52858,48611,107669,54687,52982,120874,59921,60953,278343,130684,147659,489444,236823,252621,895530,423267,472263
33,Chad,,TCD,148,B R,689770,342859,346911,549090,278342,270748,425196,222961,202235,418355,224892,193463,405075,224497,180578,428317,229088,199229
221,Chile,,CHL,152,B,1390292,705072,685220,1389690,689423,700267,1413097,685415,727682,1502286,724577,777709,1575415,749073,826342,1709567,809348,900219
79,China,-5,CHN,156,C,11719614,6252086,5467528,13363646,6925659,6437987,15491656,7828886,7662770,19466034,9508089,9957945,23284132,11020426,12263706,25765251,12040459,13724792
80,"China, Hong Kong Special Administrative Region",-6,HKG,344,B,1158109,573737,584372,1300122,642649,657473,1608675,793847,814828,1970225,1009890,960335,2414868,1262835,1152033,2670549,1409745,1260804
81,"China, Macao Special Administrative Region",-7,MAC,446,B,271847,138204,133643,277380,140893,136487,290968,146939,144029,330909,159585,171324,374594,173778,200816,403697,183984,219713
222,Colombia,,COL,170,B,2729378,1244065,1485313,3199189,1466539,1732650,3737660,1719123,2018537,4992927,2275010,2717917,6788226,3127959,3660267,7157759,3279233,3878526
10,Comoros,,COM,174,B,79798,42262,37536,93266,49125,44141,114847,59364,55483,161893,84050,77843,182064,89949,92115,196300,95740,100560
34,Congo,,COG,178,B,223003,118579,104424,260172,137092,123080,300302,156972,143330,382860,193237,189623,453081,231195,221886,508536,253595,254941
258,Cook Islands,,COK,184,B,47894,22911,24983,43932,20962,22970,58523,28552,29971,58729,28611,30118,61701,30189,31512,64515,31686,32829
210,Costa Rica,,CRI,188,B R,163866,69539,94327,191595,80970,110625,237520,101369,136151,267174,116126,151048,295895,128259,167636,308592,134138,174454
57,Côte d'Ivoire,,CIV,384,C B,787689,398502,389187,960816,487603,473213,1147840,576871,570969,1500426,742228,758198,1696573,839156,857417,1842381,905531,936850
157,Croatia,,HRV,191,B R,1161539,582578,578961,1955799,949215,1006584,2543552,1217936,1325616,2478187,1168765,1309422,2476991,1139812,1337179,2505332,1155216,1350116
190,Cuba,,CUB,192,B,1765541,844321,921220,1930592,917933,1012659,2203133,1045082,1158051,2459122,1163366,1295756,2759037,1281457,1477580,3129487,1450363,1679124
191,Curaçao,,CUW,531,B,125564,63788,61776,145995,72891,73104,171546,84366,87180,202221,99330,102891,204867,101004,103863,209679,103761,105918
112,Cyprus,-10,CYP,196,B,506862,263574,243288,473227,241445,231782,442305,219183,223122,441372,217800,223572,460695,227002,233693,503514,245114,258400
131,Czech Republic,,CZE,203,C,692888,320155,372733,860518,408556,451962,1096905,529499,567406,1803803,787327,1016476,2539824,1055273,1484551,2701258,1124818,1576440
82,Democratic People's Republic of Korea,,PRK,408,I,116266,56406,59860,163509,80620,82889,215400,107293,108107,264269,133989,130280,316083,161587,154496,336908,172656,164252
35,Democratic Republic of the Congo,,COD,180,B R,643232,323298,319934,857796,427524,430272,1278312,633126,645186,1647074,854948,792126,1915936,949534,966402,2099924,1038735,1061189
141,Denmark,,DNK,208,B,539134,245173,293961,562285,257055,305230,595718,275423,320295,625600,296533,329067,661011,314418,346593,695475,330959,364516
11,Djibouti,,DJI,262,B R,12919,7009,5910,15473,8449,7024,18787,10346,8441,28721,14714,14007,31864,16369,15495,36915,18742,18173
192,Dominica,,DMA,212,B,106108,47725,58383,114389,52071,62318,125446,57659,67787,162761,72008,90753,177530,74721,102809,176511,73643,102868
193,Dominican Republic,,DOM,214,B,1044485,439227,605258,1460714,610732,849982,1948056,809597,1138459,2261719,942682,1319037,2631109,1084807,1546302,2962781,1216403,1746378
223,Ecuador,,ECU,218,B R,488015,240506,247509,726410,352161,374249,1004650,483860,520790,2570517,1237953,1332564,2974474,1423352,1551122,2847472,1333555,1513917
41,Egypt,,EGY,818,B R,3834909,2397414,1437495,4308754,2759448,1549306,4921486,3202959,1718527,5485414,3612127,1873287,7592666,5164980,2427686,9537793,6265108,3272685
211,El Salvador,,SLV,222,B R,3214887,1566467,1648420,2053251,1007984,1045267,1928174,969120,959054,2261572,1139240,1122332,2658720,1315747,1342973,2982408,1472028,1510380
